Country Code,Country Name,Abbreviation,EU-27
0,World,WLD,0
4,Afghanistan,AFG,0
8,Albania,ALB,0
10,Antarctica,ANT,0
12,Algeria,DZA,0
16,American Samoa,ASM,0
20,Andorra,AND,0
24,Angola,AGO,0
28,Antigua and Barbuda,ATG,0
31,Azerbaijan,AZE,0
32,Argentina,ARG,0
36,Australia,AUS,0
40,Austria,AUT,1
44,Bahamas,BHS,0
48,Bahrain,BHR,0
50,Bangladesh,BGD,0
51,Armenia,ARM,0
52,Barbados,BRB,0
56,Belgium,BEL,1
60,Bermuda,BMU,0
64,Bhutan,BTN,0
68,Bolivia,BOL,0
70,Bosnia Herzegovina,BIH,0
72,Botswana,BWA,0
74,Bouvet Island,BVT,0
76,Brazil,BRA,0
80,Br. Antarctic Terr.,,0
84,Belize,BLZ,0
86,Br. Indian Ocean Terr.,IOT,0
90,Solomon Isds,SLB,0
92,Br. Virgin Isds,VGB,0
96,Brunei Darussalam,BRN,0
97,EU-27,EU2,0
100,Bulgaria,BGR,1
104,Myanmar,MMR,0
108,Burundi,BDI,0
112,Belarus,BLR,0
116,Cambodia,KHM,0
120,Cameroon,CMR,0
124,Canada,CAN,0
129,"Caribbean, nes",,0
132,Cape Verde,CPV,0
136,Cayman Isds,CYM,0
140,Central African Rep.,CAF,0
144,Sri Lanka,LKA,0
148,Chad,TCD,0
152,Chile,CHL,0
156,China,CHN,0
162,Christmas Isds,CXR,0
166,Cocos Isds,CCK,0
170,Colombia,COL,0
174,Comoros,COM,0
175,Mayotte,MYT,0
178,Congo,COG,0
180,Dem. Rep. of the Congo,COD,0
184,Cook Isds,COK,0
188,Costa Rica,CRI,0
191,Croatia,HRV,1
192,Cuba,CUB,0
196,Cyprus,CYP,1
200,Czechoslovakia,CSK,0
203,Czech Republic,CZE,1
204,Benin,BEN,0
208,Denmark,DNK,1
212,Dominica,DMA,0
214,Dominican Rep.,DOM,0
218,Ecuador,ECU,0
221,"Eastern Europe, nes",,0
222,El Salvador,SLV,0
226,Equatorial Guinea,GNQ,0
231,Ethiopia,ETH,0
232,Eritrea,ERI,0
233,Estonia,EST,1
234,Faeroe Isds,FRO,0
238,Falkland Isds (Malvinas),FLK,0
